,underlying_price,underlying_index,timestamp,stats,state,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,settlement_price,option_type
176,36927.86,SYN.BTC-2JUL21,1623313098054,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,0.0565,0.1625,0.10126075,86.7,,0.0,BTC-2JUL21-38000-P,36882.28,"{'vega': 36.14385, 'theta': -71.26404, 'rho': -13.62433, 'gamma': 5e-05, 'delta': -0.5112}",36882.28,31781521257,"[[0.0895, 0.4]]",74.68,0.0895,0.4,0.0,0.0,[],0.0,,P
177,38917.8,BTC-25MAR22,1623313098057,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,5.242,5.7155,5.44800291,109.44,,0.0,BTC-25MAR22-250000-P,36882.28,"{'vega': 49.8047, 'theta': -9.46361, 'rho': -1956.31986, 'gamma': 0.0, 'delta': -0.92324}",36882.28,29733883251,[],0.0,0.0,0.0,0.0,0.0,[],0.0,5.43,P
178,36860.27,BTC-18JUN21,1623313098054,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,30.1,0.063,0.159,0.1051147,84.21,0.204,0.0,BTC-18JUN21-40000-P,36882.28,"{'vega': 18.2358, 'theta': -96.12423, 'rho': -6.68568, 'gamma': 7e-05, 'delta': -0.72372}",36882.28,31781521223,"[[0.1015, 1.0], [0.0905, 1.5], [0.0005, 0.1]]",76.75,0.1015,1.0,0.1085,1.0,"[[0.1085, 1.0], [0.141, 0.8], [0.2245, 2.0]]",90.95,0.1,P
179,38315.69,BTC-31DEC21,1623313098053,"{'volume': 56.5, 'price_change': 14.2857, 'low': 0.0335, 'high': 0.04}",open,1579.8,0.0085,0.115,0.03677606,101.37,0.04,0.0,BTC-31DEC21-120000-C,36882.28,"{'vega': 60.51776, 'theta': -15.03727, 'rho': 19.91205, 'gamma': 1e-05, 'delta': 0.12976}",36882.28,31781518840,"[[0.033, 16.3], [0.0305, 16.0], [0.027, 0.1], [0.025, 5.0], [0.024, 1.5], [0.022, 6.0], [0.02, 7.4], [0.0075, 0.4], [0.001, 5.0]]",98.92,0.033,16.3,0.04,4.1,"[[0.04, 4.1], [0.041, 1.1], [0.0415, 16.0], [0.042, 2.5], [0.11, 0.1], [0.18, 1.5], [0.1965, 0.9], [0.2, 17.0], [0.3, 1.0], [0.49, 1.8], [0.5005, 2.0]]",103.37,0.04,C
180,36849.56,BTC-11JUN21,1623313098056,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,0.844,0.9575,0.89965274,132.31,,0.0,BTC-11JUN21-70000-P,36882.28,"{'vega': 0.0, 'theta': 0.0, 'rho': -1.89384, 'gamma': 0.0, 'delta': -1.0}",36882.28,31698796147,[],0.0,0.0,0.0,0.0,0.0,[],0.0,0.89,P
181,38315.87,BTC-31DEC21,1623313099062,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,114.5,0.3415,0.488,0.40413761,98.45,0.408,0.0,BTC-31DEC21-28000-C,36881.67,"{'vega': 83.36596, 'theta': -20.11768, 'rho': 81.87102, 'gamma': 1e-05, 'delta': 0.78645}",36881.67,31781518424,"[[0.3625, 10.0], [0.269, 5.0]]",79.14,0.3625,10.0,0.4385,10.0,"[[0.4385, 10.0]]",114.24,0.41,C
182,36851.82,BTC-11JUN21,1623313099062,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,0.273,0.3165,0.2944291,169.2,,0.0,BTC-11JUN21-26000-C,36881.67,"{'vega': 0.00249, 'theta': -0.21078, 'rho': 0.70339, 'gamma': 0.0, 'delta': 0.99997}",36881.67,31781520118,"[[0.1945, 2.5]]",0.0,0.1945,2.5,0.395,2.5,"[[0.395, 2.5]]",500.0,0.3,C
183,38315.87,BTC-31DEC21,1623313099064,"{'volume': 2.3, 'price_change': -16.6667, 'low': 0.3, 'high': 0.363}",open,887.5,0.2225,0.4205,0.30538566,94.78,0.3025,0.0,BTC-31DEC21-40000-P,36881.67,"{'vega': 109.45408, 'theta': -25.4272, 'rho': -147.74718, 'gamma': 1e-05, 'delta': -0.38455}",36881.67,31781520076,"[[0.3025, 1.2], [0.301, 0.3], [0.245, 2.7], [0.2, 0.1], [0.1885, 0.4], [0.0675, 50.0], [0.037, 0.1], [0.001, 5.0], [0.0005, 0.1]]",93.76,0.3025,1.2,0.309,0.5,"[[0.309, 0.5], [0.31, 0.3], [0.43, 0.1], [0.46, 0.1], [0.519, 1.3], [0.52, 0.1], [0.55, 1.0], [0.6, 0.1], [0.7, 20.0], [0.8, 1.0]]",96.03,0.3,P
184,36862.1,BTC-18JUN21,1623313099060,"{'volume': 45.4, 'price_change': -61.5385, 'low': 0.0025, 'high': 0.0065}",open,409.4,0.0001,0.023,0.00220933,142.38,0.0025,0.0,BTC-18JUN21-25000-P,36881.67,"{'vega': 3.25684, 'theta': -29.02779, 'rho': -0.22476, 'gamma': 1e-05, 'delta': -0.02565}",36881.67,31781485573,"[[0.002, 180.0], [0.0015, 17.8], [0.001, 11.9], [0.0005, 120.1]]",139.96,0.002,180.0,0.0025,10.7,"[[0.0025, 10.7], [0.003, 15.8], [0.0035, 2.6], [0.005, 30.0], [0.0085, 6.0], [0.009, 10.0], [0.0095, 18.0], [0.01, 50.0], [0.011, 0.3], [0.019, 0.6], [0.021, 20.0]]",145.57,0.0,P
185,37055.28,BTC-30JUL21,1623313099064,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,523.0,0.3275,0.469,0.38754049,89.69,0.392,0.0,BTC-30JUL21-50000-P,36881.67,"{'vega': 41.70409, 'theta': -37.41278, 'rho': -58.71043, 'gamma': 2e-05, 'delta': -0.76936}",36881.67,31781521303,"[[0.0005, 0.3]]",0.0,0.0005,0.3,0.48,0.2,"[[0.48, 0.2], [0.5105, 25.0], [0.887, 2.5]]",159.22,0.38,P
