,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv,option_type
34,34823.2,BTC-11JUN21,1623243721334,"{'volume': 20.5, 'price_change': -45.3704, 'low': 0.0885, 'high': 0.213}",open,0.11,312.0,0.0595,0.138,0.09373725,90.22,0.0885,0.0,BTC-11JUN21-38000-P,34835.28,"{'vega': 3.9113, 'theta': -98.55785, 'rho': -1.71699, 'gamma': 7e-05, 'delta': -0.9115}",34835.28,31750223202,"[[0.087, 4.5], [0.0865, 4.0], [0.086, 6.0], [0.0005, 0.2]]",0.0,0.087,4.5,0.0955,3.0,"[[0.0955, 3.0], [0.1, 4.0], [0.101, 6.0], [0.104, 2.6], [0.594, 2.5]]",103.96,P
35,35039.17,BTC-30JUL21,1623243721333,"{'volume': 21.2, 'price_change': 17.3913, 'low': 0.011, 'high': 0.0135}",open,0.01,797.1,0.0001,0.0535,0.01356339,96.07,0.0135,0.0,BTC-30JUL21-60000-C,34835.28,"{'vega': 21.76828, 'theta': -20.5865, 'rho': 3.87938, 'gamma': 1e-05, 'delta': 0.09312}",34835.28,31750212520,"[[0.013, 4.9], [0.0125, 42.0], [0.012, 8.0], [0.01, 25.8], [0.0025, 1.5], [0.002, 2.0], [0.0005, 30.4]]",95.16,0.013,4.9,0.0145,54.8,"[[0.0145, 54.8], [0.015, 37.7], [0.016, 4.4], [0.0165, 15.0], [0.019, 3.1], [0.02, 0.2], [0.021, 0.1], [0.0255, 32.0], [0.03, 32.0], [0.048, 0.7], [0.075, 0.1], [0.1, 1.1], [0.2275, 2.2]]",97.56,C
36,34849.82,BTC-25JUN21,1623243721334,"{'volume': 66.2, 'price_change': -45.8333, 'low': 0.006, 'high': 0.0185}",open,0.01,852.4,0.0001,0.0355,0.00665641,145.42,0.0065,0.0,BTC-25JUN21-22000-P,34835.28,"{'vega': 7.14601, 'theta': -32.90635, 'rho': -0.81286, 'gamma': 1e-05, 'delta': -0.04726}",34835.28,31750224601,"[[0.006, 15.4], [0.0055, 69.0], [0.0045, 16.0], [0.0035, 3.0], [0.003, 30.0], [0.0015, 7.5], [0.001, 0.2], [0.0005, 51.2]]",142.12,0.006,15.4,0.007,21.6,"[[0.007, 21.6], [0.0075, 47.5], [0.008, 30.5], [0.009, 3.0], [0.01, 30.0], [0.0115, 7.5], [0.02, 10.2], [0.055, 0.1], [0.08, 6.0], [0.13, 0.1], [0.1625, 1.0], [1.52, 1.1]]",147.06,P
37,34849.82,BTC-25JUN21,1623243721334,"{'volume': 8.7, 'price_change': -50.0, 'low': 0.0005, 'high': 0.001}",open,0.0,868.9,0.0001,0.015,5.799e-05,194.01,0.0005,0.0,BTC-25JUN21-10000-P,34835.28,"{'vega': 0.12666, 'theta': -0.77814, 'rho': -0.00828, 'gamma': 0.0, 'delta': -0.00049}",34835.28,31750125737,[],0.0,0.0,0.0,0.0005,5.0,"[[0.0005, 5.0], [0.001, 68.9], [0.0045, 18.4], [0.005, 47.5], [0.006, 10.0], [0.009, 2.0], [0.014, 1.0], [0.0145, 1.0], [0.015, 2.0], [0.11, 0.1], [0.8, 2.0]]",238.9,P
38,34849.82,BTC-25JUN21,1623243721334,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.59,502.4,0.5845,0.62,0.59926714,192.23,0.662,0.0,BTC-25JUN21-14000-C,34835.28,"{'vega': 1.33246, 'theta': -8.11064, 'rho': 5.9432, 'gamma': 0.0, 'delta': 0.99345}",34835.28,31750224599,"[[0.5955, 16.0], [0.594, 6.0]]",0.0,0.5955,16.0,0.6035,12.5,"[[0.6035, 12.5], [0.605, 6.0]]",250.71,C
39,36151.76,BTC-31DEC21,1623243721336,"{'volume': 2.7, 'price_change': 12.2172, 'low': 0.221, 'high': 0.2485}",open,0.24,499.8,0.171,0.354,0.24842088,97.05,0.248,0.0,BTC-31DEC21-40000-C,34835.28,"{'vega': 105.34636, 'theta': -24.96225, 'rho': 69.03694, 'gamma': 1e-05, 'delta': 0.58875}",34835.28,31750224072,"[[0.245, 10.4], [0.2435, 12.4], [0.2415, 16.3], [0.21, 9.1], [0.205, 1.0], [0.2, 40.0], [0.1825, 0.4], [0.13, 0.1], [0.126, 0.1], [0.003, 10.0], [0.0015, 1.0], [0.001, 5.0], [0.0005, 0.6]]",95.89,0.245,10.4,0.2515,28.4,"[[0.2515, 28.4], [0.252, 0.4], [0.2575, 9.0], [0.3455, 13.0], [0.462, 8.8], [0.52, 1.4]]",98.12,C
40,34822.87,BTC-11JUN21,1623243722539,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.29,0.9,0.227,0.3165,0.26418215,154.34,0.2805,0.0,BTC-11JUN21-44000-P,34834.95,"{'vega': 1.05024, 'theta': -45.26994, 'rho': -2.1295, 'gamma': 1e-05, 'delta': -0.98257}",34834.95,31750225208,[],0.0,0.0,0.0,0.7645,2.5,"[[0.7645, 2.5]]",500.0,P
41,35038.66,BTC-30JUL21,1623243723348,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.25,0.0,0.213,0.3245,0.26141607,104.47,,0.0,BTC-30JUL21-28000-C,34835.76,"{'vega': 38.75747, 'theta': -39.85831, 'rho': 25.2575, 'gamma': 2e-05, 'delta': 0.77944}",34835.76,31750224005,"[[0.2305, 0.4], [0.2185, 5.5]]",74.8,0.2305,0.4,0.3205,4.0,"[[0.3205, 4.0]]",155.6,C
42,34850.9,BTC-25JUN21,1623243723347,"{'volume': 40.8, 'price_change': 0.0, 'low': 0.0005, 'high': 0.0005}",open,0.0,1899.5,0.0001,0.0155,0.00069606,153.53,0.0005,0.0,BTC-25JUN21-80000-C,34835.76,"{'vega': 1.46494, 'theta': -7.12209, 'rho': 0.09949, 'gamma': 0.0, 'delta': 0.0073}",34835.76,31750157516,"[[0.0005, 194.4]]",148.29,0.0005,194.4,0.001,202.0,"[[0.001, 202.0], [0.0015, 87.0], [0.002, 54.3], [0.0065, 3.3], [0.0075, 5.0], [0.0085, 17.0], [0.0115, 0.2], [0.029, 1.1], [0.0365, 5.0], [0.04, 5.0], [0.09, 3.0], [0.2495, 4.0], [0.3755, 6.0]]",159.84,C
43,34829.62,SYN.BTC-10JUN21,1623243723351,"{'volume': 48.3, 'price_change': -92.8571, 'low': 0.001, 'high': 0.023}",open,0.0,38.1,0.0001,0.0265,0.00080036,168.67,0.001,0.0,BTC-10JUN21-30000-P,34835.76,"{'vega': 0.98258, 'theta': -27.87635, 'rho': -0.0203, 'gamma': 2e-05, 'delta': -0.02612}",34835.76,31750221759,"[[0.0005, 42.1]]",156.44,0.0005,42.1,0.001,0.2,"[[0.001, 0.2], [0.0015, 57.0], [0.002, 26.1], [0.0025, 34.7], [0.004, 30.0], [0.0115, 22.0], [0.2, 1.0]]",175.27,P
44,36151.92,BTC-31DEC21,1623243723347,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.4,83.9,0.3495,0.495,0.41167864,98.94,0.4235,0.0,BTC-31DEC21-26000-C,34835.76,"{'vega': 77.48074, 'theta': -18.71566, 'rho': 77.2575, 'gamma': 1e-05, 'delta': 0.79256}",34835.76,31748555189,"[[0.3775, 9.0]]",82.85,0.3775,9.0,0.437,9.0,"[[0.437, 9.0]]",110.73,C
